NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PERS_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GECOMPLR,CHECKER,ENT_DATE,BEG_CHG_TY,END_CHG_TY
Linhe Jun,临贺郡,臨賀郡,0.0,0.0,,Jun,郡,3,226,4,451,4,92285,POLYGON,92285,FROM_FD,张修桂,满志敏,,2005/01/31,新建,更名和辖区变化
Linhe Jun,临贺郡,臨賀郡,0.0,0.0,,Jun,郡,3,452,4,456,4,92286,POLYGON,92286,FROM_FD,张修桂,满志敏,,2005/01/31,更名和辖区变化,辖区扩大
Linhe Jun,临贺郡,臨賀郡,0.0,0.0,,Jun,郡,3,457,4,464,4,92287,POLYGON,92287,FROM_FD,张修桂,满志敏,,2005/01/31,辖区扩大,更名
Linqing Jun,临庆郡,臨慶郡,0.0,0.0,,Jun,郡,3,465,4,478,4,34210,POLYGON,92288,FROM_FD,张修桂,满志敏,,2005/01/31,更名,更名
Songjian Jun,宋建郡,宋建郡,0.0,0.0,,Jun,郡,3,452,4,456,4,34211,POLYGON,92291,FROM_FD,张修桂,满志敏,,2005/01/31,新建,撤销
Liangxin Jun,梁信郡,梁信郡,0.0,0.0,,Jun,郡,3,479,4,589,4,34213,POLYGON,92293,FROM_FD,张修桂,满志敏,,2005/01/31,新建,更名和辖区扩大
Jinkang Jun,晋康郡,晉康郡,0.0,0.0,,Jun,郡,3,351,4,420,4,92294,POLYGON,92294,FROM_FD,张修桂,满志敏,,2005/01/31,新建,辖区缩小
Jinkang Jun,晋康郡,晉康郡,0.0,0.0,,Jun,郡,3,421,4,432,4,92295,POLYGON,92295,FROM_FD,张修桂,满志敏,,2005/01/31,辖区缩小,辖区缩小
Jinkang Jun,晋康郡,晉康郡,0.0,0.0,,Jun,郡,3,433,4,478,4,92296,POLYGON,92296,FROM_FD,张修桂,满志敏,,2005/01/31,辖区缩小,辖区缩小
Jinkang Jun,晋康郡,晉康郡,0.0,0.0,,Jun,郡,3,479,4,501,4,34217,POLYGON,92297,FROM_FD,张修桂,满志敏,,2005/01/31,辖区缩小,辖区缩小
Guangxi Jun,广熙郡,廣熙郡,0.0,0.0,,Jun,郡,3,479,4,501,4,34218,POLYGON,92298,FROM_FD,张修桂,满志敏,,2005/01/31,新建,辖区变化
Guangxi Jun,广熙郡,廣熙郡,0.0,0.0,,Jun,郡,3,502,4,589,4,34219,POLYGON,92299,FROM_FD,张修桂,满志敏,,2005/01/31,辖区变化,撤销
Pingyuan Jun,平原郡,平原郡,0.0,0.0,,Jun,郡,3,502,4,589,4,34220,POLYGON,92300,FROM_FD,张修桂,满志敏,,2005/01/31,新建,撤销
Kaiyang Jun,开阳郡,開陽郡,0.0,0.0,,Jun,郡,3,502,4,589,4,34221,POLYGON,92301,FROM_FD,张修桂,满志敏,,2005/01/31,新建,撤销
Luoyang Jun,罗阳郡,羅陽郡,0.0,0.0,,Jun,郡,3,502,4,589,4,34222,POLYGON,92302,FROM_FD,张修桂,满志敏,,2005/01/31,新建,撤销
Liangde Jun,梁德郡,梁德郡,0.0,0.0,,Jun,郡,3,502,4,589,4,34223,POLYGON,92303,FROM_FD,张修桂,满志敏,,2005/01/31,新建,撤销
